oiseau_en,oiseau_fr
American Bittern,Butor d'Amérique
American Crow,Corneille d'Amérique
American Goldfinch,Chardonneret jaune
American Redstart,Paruline flamboyante
American Robin,Merle d'Amérique
Baltimore Oriole,Oriole de Baltimore
Bay-breasted Warbler,Paruline à poitrine baie
Black-and-white Warbler,Paruline noir et blanc
Black-bellied Whistling-Duck,Dendrocygne à ventre noir
Black-billed cuckoo,Coulicou à bec noir
Black-capped Chickadee,Mésange à tête noire
Black-crowned night heron,Bihoreau gris
Black-throated blue warbler,Paruline bleue
Black-throated Green Warbler,Paruline à gorge noire
Blackburnian Warbler,Paruline à gorge orangée
Blackpoll Warbler,Paruline rayée
Blue Jay,Geai bleu
Blue rock thrush,Monticole bleu
Blue-headed Vireo,Viréo à tête bleue
Brown thrasher,Moqueur roux
Brown-headed Cowbird,Vacher à tête brune
Cabanis's Wren,Troglodyte modeste
Canada Goose,Bernache du Canada
Canada warbler,Paruline du Canada
Cape May Warbler,Paruline tigrée
Carolina Wren,Troglodyte de Caroline
Cedar Waxwing,Jaseur d'Amérique
Chestnut-sided Warbler,Paruline à flancs marron
Chimney Swift,Martinet ramoneur
Chipping Sparrow,Bruant familier
Common Grackle,Quiscale bronzé
Common raven,Grand corbeau
Common Yellowthroat,Paruline masquée
Dark-eyed Junco,Junco ardoisé
Downy Woodpecker,Pic mineur
Dunlin,Bécasseau variable
Eastern Phoebe,Moucherolle phébi
Eastern screech owl,Petit-duc maculé
Eastern Towhee,Tohi à flancs roux
Eastern Wood-Pewee,Pioui de l'Est
Eurasian blackcap,Fauvette à tête noire
Eurasian Collared-Dove,Tourterelle turque
Eurasian Jay,Geai des chênes
European Starling,Étourneau sansonnet
Field Sparrow,Bruant des champs
Fox Sparrow,Bruant fauve
Gadwall,Canard chipeau
Golden-crowned Kinglet,Roitelet à couronne dorée
Gray Catbird,Moqueur chat
Gray-cheeked Thrush,Grive à joues grises
Great Blue Heron,Grand Héron
Great Crested Flycatcher,Tyran huppé
Great crested flycatcher,Tyran Huppé
Great Egret,Grande Aigrette
Great Horned Owl,Grand-duc d'Amérique
Great Tit,Mésange charbonnière
Hairy woodpecker,Pic chevelu
Hermit Thrush,Grive solitaire
Herring Gull,Goéland argenté
House Finch,Roselin familier
House Sparrow,Moineau domestique
House Wren,Troglodyte familier
Indigo Bunting,Passerin indigo
Least Bittern,Petit Blongios
Least Flycatcher,Moucherolle tchébec
Least Sandpiper,Bécasseau minuscule
Lesser ground cuckoo,Géocoucou de Lesson
Mallard,Canard colvert
Marsh wren,Troglodyte des marais
